Date,Description,Credit,Debit,Recorded_Balance
2025-12-01,Opening Balance,5000,0,5000
2025-12-02,Office Rent,0,1200,3800
2025-12-05,Client Payment,2500,0,6300
2025-12-07,Internet Bill,0,150,6150
2025-12-10,Software License,0,300,5000
2025-12-12,Consulting Fee,1200,0,6200
2025-12-15,Office Supplies,0,450,5750
2025-12-18,Refund Received,200,0,6000
2025-12-20,Travel Expense,0,800,5150
2025-12-22,Client Project B,3000,0,8150
2025-12-25,Electricity Bill,0,200,7950
2025-12-27,Miscellaneous,0,100,7500
